student_name,year,month,day,sample_id,sample_group,sample_dilution_id,dna_concentration_ng_ul,sample_type_culture_or_culturefree,notes
Jacqueline Imperial,2019,9,10,B1,BART,10,34.1,culture,
Jacqueline Imperial,2019,9,10,B1,BART,100,11.5,culture,
Jacqueline Imperial,2019,9,10,B2,BART,100,5.92,culture,
Jacqueline Imperial,2019,9,10,M2,Municipal Railway,10,8.27,culture,
Jacqueline Imperial,2019,9,10,M3,Municipal Railway,10,8.33,culture,
Jacqueline Imperial,2019,9,10,M3,Municipal Railway,100,8.37,culture,
Jacqueline Imperial,2019,9,11,B1,BART,1,2.16,culture free,
Jacqueline Imperial,2019,9,11,B2,BART,1,2.03,culture free,
Jacqueline Imperial,2019,9,11,B3,BART,1,2.22,culture free,
Jacqueline Imperial,2019,9,11,M1,Municipal Railway,1,2.52,culture free,
Jacqueline Imperial,2019,9,11,M2,Municipal Railway,1,4.5,culture free,
Jacqueline Imperial,2019,9,11,M3,Municipal Railway,1,6.59,culture free,
Jinwoo_Kim,2019,9,10,HB1,Honey bee,1,7.65,culture,OG
Jinwoo_Kim,2019,9,10,HB2,Honey bee,1,9.25,culture,OG
Jinwoo_Kim,2019,9,10,HB2,Honey bee,100,37.1,culture,3
Jinwoo_Kim,2019,9,10,DF1,Drone fly,1,5.09,culture,OG
Jinwoo_Kim,2019,9,10,DF2,Drone fly,100,7.95,culture,3
Jinwoo_Kim,2019,9,10,DF3,Drone fly,10,6.9,culture,2
Jinwoo_Kim,2019,9,11,HB1,Honey bee,1,5.87,culture free,
Jinwoo_Kim,2019,9,11,HB2,Honey bee,1,5.12,culture free,
Jinwoo_Kim,2019,9,11,HB3,Honey bee,1,6.01,culture free,
Jinwoo_Kim,2019,9,11,DF1,Drone fly,1,6.55,culture free,
Jinwoo_Kim,2019,9,11,DF2,Drone fly,1,7.2,culture free,
Jinwoo_Kim,2019,9,11,DF3,Drone fly,1,8.04,culture free,
Jacinda Chen,2019,9,10,1F,Communal,1,5.4,culture,
Jacinda Chen,2019,9,10,2F,Communal,1,6.1,culture,
Jacinda Chen,2019,9,10,3F,Communal,1,8.76,culture,
