Prevotella sp. oral taxon 473,FS10000603:2:BPC29607-1927:1:1101:2970:1000,GU413295.1,98.013,151,2,1,1,151,319,468,5.28e-66,261
Staphylococcus sp.,FS10000603:2:BPC29607-1927:1:1101:8050:1000,MK465362.1,99.333,150,1,0,1,150,295,444,2.42e-69,272
Mycoplasma wenyonii str. Massachusetts,FS10000603:2:BPC29607-1927:1:1101:11860:1000,CP003703.1,96.711,152,4,1,1,151,51139,51290,3.18e-63,252
Streptococcus cristatus,FS10000603:2:BPC29607-1927:1:1101:1800:1010,GU416374.1,98.658,149,2,0,1,149,318,466,4.02e-67,265
uncultured Cutibacterium sp.,FS10000603:2:BPC29607-1927:1:1101:11070:1010,MN383091.1,98.667,150,2,0,1,150,331,480,1.13e-67,267
Staphylococcus sp.,FS10000603:2:BPC29607-1927:1:1101:1500:1020,MK465362.1,98.675,151,2,0,1,151,295,445,3.16e-68,268
Pseudomonas protegens,FS10000603:2:BPC29607-1927:1:1101:2120:1020,CP024025.1,98.675,151,2,0,1,151,346212,346362,3.16e-68,268
Pseudomonas protegens,FS10000603:2:BPC29607-1927:1:1101:2120:1020,CP024025.1,98.675,151,2,0,1,151,1077759,1077909,3.16e-68,268
Pseudomonas protegens,FS10000603:2:BPC29607-1927:1:1101:2120:1020,CP024025.1,98.675,151,2,0,1,151,5071679,5071529,3.16e-68,268
Pseudomonas protegens,FS10000603:2:BPC29607-1927:1:1101:2120:1020,CP024025.1,98.675,151,2,0,1,151,6144794,6144644,3.16e-68,268
Pseudomonas protegens,FS10000603:2:BPC29607-1927:1:1101:2120:1020,CP024025.1,98.675,151,2,0,1,151,6505686,6505536,3.16e-68,268
Staphylococcus sp.,FS10000603:2:BPC29607-1927:1:1101:4730:1020,MK465362.1,98.000,150,3,0,1,150,295,444,5.24e-66,261
Porphyromonadaceae bacterium KA00676,FS10000603:2:BPC29607-1927:1:1101:7930:1020,KP192300.1,98.675,151,2,0,1,151,290,440,3.16e-68,268
Aggregatibacter aphrophilus ATCC 33389,FS10000603:2:BPC29607-1927:1:1101:10360:1020,LR134327.1,99.338,151,0,1,1,150,253302,253152,2.42e-69,272
Aggregatibacter aphrophilus ATCC 33389,FS10000603:2:BPC29607-1927:1:1101:10360:1020,LR134327.1,99.338,151,0,1,1,150,467141,466991,2.42e-69,272
Aggregatibacter aphrophilus ATCC 33389,FS10000603:2:BPC29607-1927:1:1101:10360:1020,LR134327.1,99.338,151,0,1,1,150,558575,558425,2.42e-69,272
Aggregatibacter aphrophilus ATCC 33389,FS10000603:2:BPC29607-1927:1:1101:10360:1020,LR134327.1,99.338,151,0,1,1,150,1225067,1224917,2.42e-69,272
Aggregatibacter aphrophilus ATCC 33389,FS10000603:2:BPC29607-1927:1:1101:10360:1020,LR134327.1,99.338,151,0,1,1,150,1406345,1406495,2.42e-69,272
Aggregatibacter aphrophilus ATCC 33389,FS10000603:2:BPC29607-1927:1:1101:10360:1020,LR134327.1,99.338,151,0,1,1,150,2234556,2234406,2.42e-69,272
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:10480:1020,MK335904.1,98.675,151,2,0,1,151,9,159,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:14020:1020,LR594987.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:3880:1030,MK647205.1,98.000,150,3,0,1,150,312,461,5.24e-66,261
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:3890:1030,MK647205.1,97.973,148,3,0,1,148,312,459,6.66e-65,257
Haemophilus parainfluenzae,FS10000603:2:BPC29607-1927:1:1101:13510:1030,CP035368.2,98.667,150,2,0,1,150,1138860,1138711,1.13e-67,267
Haemophilus parainfluenzae,FS10000603:2:BPC29607-1927:1:1101:13510:1030,CP035368.2,94.000,150,9,0,1,150,111957,112106,5.31e-56,228
Haemophilus parainfluenzae,FS10000603:2:BPC29607-1927:1:1101:13510:1030,CP035368.2,94.000,150,9,0,1,150,567907,568056,5.31e-56,228
Haemophilus parainfluenzae,FS10000603:2:BPC29607-1927:1:1101:13510:1030,CP035368.2,94.000,150,9,0,1,150,1788582,1788433,5.31e-56,228
Haemophilus parainfluenzae,FS10000603:2:BPC29607-1927:1:1101:13510:1030,CP035368.2,94.000,150,9,0,1,150,2010129,2010278,5.31e-56,228
Haemophilus parainfluenzae,FS10000603:2:BPC29607-1927:1:1101:13510:1030,CP035368.2,94.161,137,7,1,14,150,1289309,1289174,6.92e-50,207
Comamonas sp.,FS10000603:2:BPC29607-1927:1:1101:8440:1050,MK640666.1,98.000,150,3,0,1,150,71,220,5.24e-66,261
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:13150:1050,LR595680.1,100.000,149,0,0,1,149,1,149,1.85e-70,276
Streptococcus sp. oral taxon 070,FS10000603:2:BPC29607-1927:1:1101:14820:1050,GU400014.1,99.329,149,0,1,1,149,319,466,3.10e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:6040:1060,LR594951.1,100.000,151,0,0,1,151,1,151,1.46e-71,279
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:7070:1060,MG948624.1,96.711,152,4,1,1,151,279,430,3.18e-63,252
uncultured organism,FS10000603:2:BPC29607-1927:1:1101:7380:1060,MF439791.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:5910:1070,LR594987.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:8550:1070,LR595680.1,99.329,149,1,0,1,149,1,149,8.63e-69,270
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:8640:1070,MK335904.1,98.675,151,2,0,1,151,9,159,3.16e-68,268
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:9110:1070,CP038808.1,99.329,149,1,0,1,149,15495,15643,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:9110:1070,CP038808.1,99.329,149,1,0,1,149,1696836,1696688,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:9110:1070,CP038808.1,99.329,149,1,0,1,149,1794386,1794238,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:9110:1070,CP038808.1,99.329,149,1,0,1,149,1856311,1856163,8.63e-69,270
Streptococcus sp. JS71,FS10000603:2:BPC29607-1927:1:1101:13350:1070,CP032620.1,97.987,149,3,0,1,149,70713,70565,1.87e-65,259
Streptococcus sp. JS71,FS10000603:2:BPC29607-1927:1:1101:13350:1070,CP032620.1,94.631,149,8,0,1,149,163788,163640,4.07e-57,231
Streptococcus sp. JS71,FS10000603:2:BPC29607-1927:1:1101:13350:1070,CP032620.1,94.631,149,8,0,1,149,436755,436607,4.07e-57,231
Streptococcus sp. JS71,FS10000603:2:BPC29607-1927:1:1101:13350:1070,CP032620.1,94.631,149,8,0,1,149,552007,551859,4.07e-57,231
uncultured organism,FS10000603:2:BPC29607-1927:1:1101:1370:1080,MF439791.1,100.000,150,0,0,1,150,1,150,5.20e-71,278
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:5610:1080,MG948624.1,98.026,152,2,1,1,151,279,430,1.47e-66,263
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:8940:1080,MF439394.1,99.329,149,1,0,1,149,1,149,8.63e-69,270
uncultured Staphylococcus sp.,FS10000603:2:BPC29607-1927:1:1101:15900:1080,MN383050.1,98.026,152,2,1,1,151,256,407,1.47e-66,263
Streptococcus sp. JS71,FS10000603:2:BPC29607-1927:1:1101:13470:1090,CP032620.1,97.987,149,3,0,1,149,70713,70565,1.87e-65,259
Streptococcus sp. JS71,FS10000603:2:BPC29607-1927:1:1101:13470:1090,CP032620.1,94.631,149,8,0,1,149,163788,163640,4.07e-57,231
Streptococcus sp. JS71,FS10000603:2:BPC29607-1927:1:1101:13470:1090,CP032620.1,94.631,149,8,0,1,149,436755,436607,4.07e-57,231
Streptococcus sp. JS71,FS10000603:2:BPC29607-1927:1:1101:13470:1090,CP032620.1,94.631,149,8,0,1,149,552007,551859,4.07e-57,231
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:10820:1100,MF439394.1,99.329,149,1,0,1,149,1,149,8.63e-69,270
Staphylococcus sp.,FS10000603:2:BPC29607-1927:1:1101:5780:1110,MK465362.1,98.684,152,1,1,1,151,295,446,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:7900:1110,LR594987.1,99.333,150,1,0,1,150,1,150,2.42e-69,272
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:6660:1120,CP038808.1,100.000,149,0,0,1,149,15495,15643,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:6660:1120,CP038808.1,100.000,149,0,0,1,149,1696836,1696688,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:6660:1120,CP038808.1,100.000,149,0,0,1,149,1794386,1794238,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:6660:1120,CP038808.1,100.000,149,0,0,1,149,1856311,1856163,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:2860:1130,CP038808.1,100.000,149,0,0,1,149,15495,15643,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:2860:1130,CP038808.1,100.000,149,0,0,1,149,1696836,1696688,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:2860:1130,CP038808.1,100.000,149,0,0,1,149,1794386,1794238,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:2860:1130,CP038808.1,100.000,149,0,0,1,149,1856311,1856163,1.85e-70,276
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:9030:1130,CP038808.1,99.329,149,1,0,1,149,15495,15643,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:9030:1130,CP038808.1,99.329,149,1,0,1,149,1696836,1696688,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:9030:1130,CP038808.1,99.329,149,1,0,1,149,1794386,1794238,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:9030:1130,CP038808.1,99.329,149,1,0,1,149,1856311,1856163,8.63e-69,270
