Prevotella melaninogenica,FS10000603:2:BPC29607-1927:1:1101:2170:1000,LT696793.1,98.026,152,2,1,1,151,321,472,1.47e-66,263
Clostridium nitritogenes,FS10000603:2:BPC29607-1927:1:1101:4870:1000,LC480784.1,99.338,151,1,0,1,151,333,483,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:4900:1000,LR594987.1,100.000,150,0,0,1,150,1,150,5.20e-71,278
Robinsoniella peoriensis,FS10000603:2:BPC29607-1927:1:1101:7550:1000,MH719745.1,96.667,150,4,1,1,150,319,467,4.08e-62,248
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:13760:1000,LR594987.1,99.333,150,1,0,1,150,1,150,2.42e-69,272
Chroococcaceae cyanobacterium CCIBt3410,FS10000603:2:BPC29607-1927:1:1101:2740:1010,MF072345.1,98.667,150,2,0,1,150,299,448,1.13e-67,267
uncultured Cutibacterium sp.,FS10000603:2:BPC29607-1927:1:1101:6750:1010,MN383091.1,99.333,150,1,0,1,150,331,480,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:11730:1010,MK789922.1,99.333,150,1,0,1,150,327,476,2.42e-69,272
uncultured organism,FS10000603:2:BPC29607-1927:1:1101:12710:1010,MF439791.1,100.000,150,0,0,1,150,1,150,5.20e-71,278
uncultured Cutibacterium sp.,FS10000603:2:BPC29607-1927:1:1101:5040:1020,MN383091.1,99.333,150,1,0,1,150,331,480,2.42e-69,272
Prevotella melaninogenica,FS10000603:2:BPC29607-1927:1:1101:6340:1020,LT689603.1,99.338,151,1,0,1,151,321,471,6.79e-70,274
uncultured Mycoplasma sp.,FS10000603:2:BPC29607-1927:1:1101:8260:1020,MK588844.1,98.675,151,2,0,1,151,11,161,3.16e-68,268
cyanobacterium cCLB-12,FS10000603:2:BPC29607-1927:1:1101:12340:1020,HQ230231.1,98.667,150,2,0,1,150,291,440,1.13e-67,267
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:16340:1020,MK335904.1,99.338,151,1,0,1,151,9,159,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:1980:1030,MK789895.1,98.658,149,2,0,1,149,328,476,4.02e-67,265
uncultured Cutibacterium sp.,FS10000603:2:BPC29607-1927:1:1101:7390:1030,MN383091.1,100.000,150,0,0,1,150,331,480,5.20e-71,278
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:8720:1030,MK335904.1,97.351,151,4,0,1,151,9,159,6.83e-65,257
uncultured Cutibacterium sp.,FS10000603:2:BPC29607-1927:1:1101:1400:1040,MN383091.1,100.000,150,0,0,1,150,331,480,5.20e-71,278
uncultured organism,FS10000603:2:BPC29607-1927:1:1101:4130:1040,MF439791.1,99.333,150,1,0,1,150,1,150,2.42e-69,272
Bacillus sp. NSi03,FS10000603:2:BPC29607-1927:1:1101:6160:1040,AB811358.1,100.000,151,0,0,1,151,9,159,1.46e-71,279
Corynebacterium tuberculostearicum,FS10000603:2:BPC29607-1927:1:1101:6920:1040,MK465376.1,98.675,151,2,0,1,151,273,423,3.16e-68,268
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:11640:1040,MK608707.1,99.275,138,1,0,14,151,178,315,1.14e-62,250
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:11940:1040,MK335904.1,99.338,151,1,0,1,151,9,159,6.79e-70,274
Pseudomonas poae,FS10000603:2:BPC29607-1927:1:1101:1160:1050,MN307370.1,100.000,151,0,0,1,151,285,435,1.46e-71,279
bacterium YC-ZSS-LKJ189,FS10000603:2:BPC29607-1927:1:1101:1650:1050,KP174604.1,92.715,151,8,3,1,149,344,493,4.10e-52,215
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:2000:1050,MK789895.1,97.987,149,3,0,1,149,328,476,1.87e-65,259
uncultured Cutibacterium sp.,FS10000603:2:BPC29607-1927:1:1101:2820:1050,MN383091.1,99.333,150,1,0,1,150,331,480,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:6150:1050,MK789910.1,99.338,151,1,0,1,151,329,479,6.79e-70,274
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:1490:1060,KX661144.1,99.329,149,1,0,1,149,250,398,8.63e-69,270
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:3070:1060,MK335904.1,98.013,151,3,0,1,151,9,159,1.47e-66,263
bacterium,FS10000603:2:BPC29607-1927:1:1101:7240:1060,MN385771.1,98.675,151,2,0,1,151,251,401,3.16e-68,268
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:16420:1060,MG948624.1,98.684,152,1,1,1,151,279,430,3.16e-68,268
Granulicatella elegans,FS10000603:2:BPC29607-1927:1:1101:5990:1070,JN801174.1,99.333,150,1,0,1,150,284,433,2.42e-69,272
